Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Italy,2010,454.40,1825019,59277417,7.67,30787.76
Jamaica,2010,9.65,13221,2690824,3.59,4913.36
Japan,2010,1114.25,4648469,128070000,8.70,36296.31
Jordan,2010,26.14,17038,6046000,4.32,2818.06
Kazakhstan,2010,283.23,77245,16321581,17.35,4732.69
Kenya,2010,67.86,23929,40909194,1.66,584.93
Kiribati,2010,0.08,111,97743,0.82,1135.63
"Korea, Dem. Rep. (North)",2010,107.02,13945,24500520,4.37,569.17
"Korea, Rep. (South)",2010,626.88,1098690,49410366,12.69,22236.02
Kuwait,2010,190.61,85607,2991580,63.71,28615.98
Kyrgyzstan,2010,-2.88,3056,5447900,-0.53,560.95
Laos,2010,39.69,4022,6395713,6.21,628.86
Latvia,2010,-1.60,15503,2097555,-0.76,7390.99
Lebanon,2010,23.94,30752,4341092,5.51,7083.93
Lesotho,2010,2.41,1749,2008921,1.20,870.62
Liberia,2010,16.92,960,3957990,4.28,242.55
Libya,2010,141.91,54964,6040612,23.49,9099.08
Lithuania,2010,26.67,27477,3097282,8.61,8871.33
Luxembourg,2010,12.00,41349,506953,23.67,81563.77
"Macedonia, FYR",2010,12.08,7141,2102216,5.75,3396.89
Madagascar,2010,57.34,5797,21079532,2.72,275.01
Malawi,2010,15.23,3874,15013694,1.01,258.03
Malaysia,2010,425.32,178674,28275835,15.04,6318.96
Maldives,2010,1.16,1519,325694,3.56,4663.89
Mali,2010,34.80,6972,13985961,2.49,498.50
Malta,2010,3.02,6715,414508,7.28,16199.93
Mauritania,2010,10.88,2231,3609420,3.01,618.10
Mauritius,2010,5.35,7825,1250400,4.28,6258.00
Mexico,2010,728.70,953068,117886404,6.18,8084.63
Moldova,2010,11.56,3501,3562045,3.25,982.86
Mongolia,2010,52.21,3454,2712738,19.25,1273.25
Montenegro,2010,3.58,2803,620078,5.78,4520.40
Morocco,2010,73.16,75523,31642360,2.31,2386.77
Mozambique,2010,59.20,9053,23967265,2.47,377.72
Myanmar,2010,184.41,39777,51931231,3.55,765.96
Namibia,2010,19.26,9049,2178967,8.84,4152.89
Nauru,2010,0.06,48,10005,6.04,4797.60
Nepal,2010,38.27,10103,26846016,1.43,376.33
Netherlands,2010,220.38,725681,16615394,13.26,43675.22
New Zealand,2010,56.10,121173,4350700,12.89,27851.38
Nicaragua,2010,42.80,7163,5822209,7.35,1230.29
Niger,2010,25.24,4382,15893746,1.59,275.71
Nigeria,2010,459.06,159018,159707780,2.87,995.68
Niue,2010,0.07,10.26,1618,44.44,6341.16
Norway,2010,27.56,315797,4889252,5.64,64590.04
Oman,2010,99.96,41164,2802768,35.66,14686.91
Pakistan,2010,334.61,129517,173149306,1.93,748.01
Palau,2010,0.23,180,20470,11.38,8793.36
Panama,2010,21.32,22603,3678128,5.80,6145.25
Papua New Guinea,2010,102.46,6503,6858945,14.94,948.10
Paraguay,2010,107.93,11148,6459721,16.71,1725.77
Peru,2010,155.77,104627,29262830,5.32,3575.42
Philippines,2010,152.02,131131,93444322,1.63,1403.31
Poland,2010,331.14,383288,38183683,8.67,10038.00
Portugal,2010,67.46,203429,10573100,6.38,19240.24
Qatar,2010,73.01,101935,1749713,41.73,58258.13
Romania,2010,105.95,114089,20246871,5.23,5634.90
Russian Federation,2010,2090.23,909248,142385523,14.68,6385.82
Rwanda,2010,5.69,3847,10836732,0.53,355.00
Saint Kitts & Nevis,2010,0.35,563,52352,6.59,10754.13
Saint Lucia,2010,1.13,1039,177397,6.34,5856.92
Saint Vincent & Grenadines,2010,0.28,589,109316,2.58,5388.05
Samoa,2010,0.42,485,186029,2.27,2607.12
Sao Tome & Principe,2010,0.17,168,178228,0.95,942.61
Saudi Arabia,2010,478.26,435992,27258387,17.55,15994.78
Senegal,2010,30.96,10366,12950564,2.39,800.43
Serbia,2010,-12.77,29943,7291436,-1.75,4106.60
Seychelles,2010,0.75,1136,89770,8.40,12654.56
Sierra Leone,2010,11.11,2127,5751976,1.93,369.79
Singapore,2010,54.62,176458,5076700,10.76,34758.41
Slovakia,2010,37.04,78622,5391428,6.87,14582.78
Slovenia,2010,4.96,39592,2048583,2.42,19326.53
Solomon Islands,2010,2.22,523,526447,4.22,993.45
South Africa,2010,460.75,300215,50791808,9.07,5910.70
Spain,2010,330.41,1219911,46576897,7.09,26191.33
Sri Lanka,2010,42.29,33253,20653000,2.05,1610.08
Sudan,2010,171.25,35822,35652002,4.80,1004.77
Suriname,2010,8.60,2209,524960,16.37,4207.94
Swaziland,2010,2.92,2917,1193148,2.44,2444.79
Sweden,2010,38.03,420871,9378126,4.06,44877.94
Switzerland,2010,50.72,454938,7824909,6.48,58139.72
Syria,2010,90.78,55324,21532647,4.22,2569.31
Tajikistan,2010,8.31,3181,7627326,1.09,417.05
Tanzania,2010,169.28,19143,44973330,3.76,425.65
Thailand,2010,355.77,210091,66402316,5.36,3163.91
Togo,2010,14.98,2477,6306014,2.38,392.80
Tonga,2010,0.32,269,104098,3.07,2584.10
Trinidad & Tobago,2010,41.77,18989,1328095,31.45,14297.92
Tunisia,2010,34.77,40594,10547100,3.30,3848.83
Turkey,2010,349.91,565092,72137546,4.85,7833.54
Turkmenistan,2010,99.27,13273,5041995,19.69,2632.49
Uganda,2010,48.80,13275,33987213,1.44,390.59
Ukraine,2010,355.32,90577,45870700,7.75,1974.62
United Arab Emirates,2010,196.59,203435,8441537,23.29,24099.28
United Kingdom,2010,566.21,2477505,62766365,9.02,39471.86
United States,2010,6147.41,13598288,309326295,19.87,43960.98
Uruguay,2010,13.32,22899,3371982,3.95,6790.96
Uzbekistan,2010,217.40,21491,28562400,7.61,752.42
Vanuatu,2010,0.53,504,236299,2.22,2132.89
Venezuela,2010,391.56,174552,29043283,13.48,6010.06
Vietnam,2010,237.82,78282,86932500,2.74,900.49
World,2010,45747.71,52569897,6884007764,6.65,7636.52
Yemen,2010,35.40,19989,22763008,1.56,878.14
Zambia,2010,121.69,12647,13216985,9.21,956.87
Zimbabwe,2010,62.62,5202,13076978,4.79,397.80
Afghanistan,2011,34.73,10869,29105480,1.19,373.43
Albania,2011,8.04,11009,2904780,2.77,3789.96
Algeria,2011,175.62,119774,37762962,4.65,3171.73
Angola,2011,206.30,52345,20180490,10.22,2593.84
Antigua & Barbuda,2011,1.04,994,88152,11.74,11275.98
Argentina,2011,394.70,318823,40728738,9.69,7827.96
Armenia,2011,8.68,6196,2964120,2.93,2090.33
Australia,2011,683.15,815503,22340000,30.58,36504.16
Austria,2011,86.66,345664,8391643,10.33,41191.46
Azerbaijan,2011,64.77,28329,9173082,7.06,3088.28
"Bahamas, The",2011,2.39,7698,366331,6.51,21013.78
Bahrain,2011,32.82,21368,1292764,25.39,16528.93
Bangladesh,2011,186.84,86128,152862431,1.22,563.43
Barbados,2011,3.59,4064,281804,12.74,14421.37
Belarus,2011,70.26,45314,9473000,7.42,4783.49
Belgium,2011,130.99,418934,11047744,11.86,37920.32
Belize,2011,14.50,1292,316280,45.84,4084.99
Benin,2011,21.93,5404,9779795,2.24,552.57
Bhutan,2011,-7.73,1390,729429,-10.60,1905.60
Bolivia,2011,140.28,12573,10324445,13.59,1217.79
Bosnia & Herzegovina,2011,29.85,12873,3839322,7.78,3352.94
Botswana,2011,33.55,12866,1986701,16.89,6476.06
Brazil,2011,1768.75,1126723,196935134,8.98,5721.29
Brunei,2011,21.84,10188,406512,53.73,25061.99
Bulgaria,2011,50.95,34391,7348328,6.93,4680.11
Burkina Faso,2011,33.85,7605,15995313,2.12,475.45
Burundi,2011,6.68,1450,9540362,0.70,151.99
Cambodia,2011,50.20,9308,14605862,3.44,637.28
Cameroon,2011,192.57,19940,21156272,9.10,942.51
Canada,2011,843.09,1271415,34342780,24.55,37021.32
Cape Verde,2011,0.66,1343,490556,1.34,2737.71
Central African Republic,2011,63.82,1958,4436217,14.39,441.37
Chad,2011,43.84,8432,12080037,3.63,698.01
Chile,2011,91.70,156291,17308449,5.30,9029.75
China,2011,10304.13,4196333,1344130000,7.67,3121.97
Colombia,2011,202.12,194945,47078792,4.29,4140.82
Comoros,2011,0.61,422,700216,0.88,602.67
"Congo, Dem. Rep.",2011,208.35,16747,63931512,3.26,261.95
"Congo, Rep.",2011,16.71,8121,4225359,3.96,1921.97
Cook Islands,2011,0.11,256,11124,9.45,23013.30
Costa Rica,2011,5.71,26146,4737680,1.21,5518.73
Cote d'Ivoire,2011,33.59,18228,19389954,1.73,940.07
Croatia,2011,14.81,46362,4280622,3.46,10830.67
Cuba,2011,35.33,56939,11276053,3.13,5049.55
Cyprus,2011,8.38,19284,1116513,7.51,17271.63
Czech Republic,2011,120.60,156360,10496088,11.49,14896.98
Denmark,2011,57.23,268189,5570572,10.27,48143.89
Djibouti,2011,1.24,954,846646,1.47,1126.80
Dominica,2011,0.30,442,71401,4.27,6190.39
Dominican Republic,2011,31.89,47327,10147598,3.14,4663.86
Ecuador,2011,137.05,52894,15246481,8.99,3469.26
Egypt,2011,281.12,123158,79392466,3.54,1551.26
El Salvador,2011,13.35,18748,6256242,2.13,2996.69
Equatorial Guinea,2011,26.19,9464,715996,36.58,13217.95
Eritrea,2011,6.92,1148,5932852,1.17,193.50
Estonia,2011,29.25,14942,1327439,22.03,11256.26
Ethiopia,2011,141.14,23107,89393063,1.58,258.49
European Union (15),2011,3363.62,14153828,399838757,8.41,35398.84
European Union (28),2011,4161.10,15183005,501735856,8.29,30260.95
Fiji,2011,1.43,3199,867921,1.65,3685.82
Finland,2011,75.40,218387,5388272,13.99,40530.06
France,2011,426.34,2337441,65343588,6.52,35771.54
Gabon,2011,6.99,10372,1594034,4.39,6506.76
"Gambia, The",2011,6.75,750,1734966,3.89,432.29
Georgia,2011,10.46,8835,4483350,2.33,1970.62
Germany,2011,797.91,3146747,81797673,9.75,38469.88
Ghana,2011,58.89,17027,24820706,2.37,686.00
Greece,2011,103.90,222545,11123213,9.34,20007.26
Grenada,2011,1.76,670,105074,16.72,6376.46
Guatemala,2011,39.81,33912,14706578,2.71,2305.91
Guinea,2011,28.52,3395,11161530,2.55,304.17
Guinea-Bissau,2011,4.06,752,1624228,2.50,462.99
Guyana,2011,7.19,969,790882,9.09,1225.21
Haiti,2011,8.09,4551,10032864,0.81,453.61
Honduras,2011,48.29,11989,7776669,6.21,1541.66
Hungary,2011,67.33,113096,9971727,6.75,11341.67
Iceland,2011,2.72,18273,319014,8.52,57279.62
India,2011,2755.75,1326235,1221156319,2.26,1086.05
Indonesia,2011,1950.71,402408,243801639,8.00,1650.55
Iran,2011,703.87,249983,75424285,9.33,3314.36
Iraq,2011,242.21,73198,31760020,7.63,2304.72
Ireland,2011,57.30,217573,4576794,12.52,47538.30
Israel,2011,86.98,184469,7765800,11.20,23754.02
Italy,2011,447.30,1835729,59379449,7.53,30915.22
Jamaica,2011,10.06,14445,2699838,3.73,5350.32
Japan,2011,1164.83,4627424,127817277,9.11,36203.43
Jordan,2011,27.44,17474,6181000,4.44,2827.05
Kazakhstan,2011,296.18,83039,16556600,17.89,5015.46
Kenya,2011,70.12,25394,42027891,1.67,604.22
Kiribati,2011,0.08,114,99250,0.81,1148.61
"Korea, Dem. Rep. (North)",2011,88.74,15568,24631291,3.60,632.04
"Korea, Rep. (South)",2011,654.86,1139141,49779440,13.16,22883.76
Kuwait,2011,195.57,94347,3124705,62.59,30193.89
Kyrgyzstan,2011,-1.93,3238,5514600,-0.35,587.17
Laos,2011,33.48,4345,6521314,5.13,666.28
Latvia,2011,-2.39,16324,2059709,-1.16,7925.39
Lebanon,2011,24.40,31368,4382790,5.57,7157.08
Lesotho,2011,2.20,1799,2029516,1.08,886.42
Liberia,2011,17.04,1048,4079697,4.18,256.88
Libya,2011,119.80,20844,6103233,19.63,3415.24
Lithuania,2011,26.36,29125,3028115,8.70,9618.19
Luxembourg,2011,11.89,42428,518347,22.93,81852.50
"Macedonia, FYR",2011,13.34,7341,2103890,6.34,3489.25
Madagascar,2011,57.45,5881,21678934,2.65,271.28
Malawi,2011,15.14,4043,15457531,0.98,261.56
Malaysia,2011,430.33,187942,28758968,14.96,6535.07
Maldives,2011,1.19,1617,331964,3.59,4871.01
Mali,2011,35.99,7162,14416737,2.50,496.78
Malta,2011,3.02,6809,416268,7.27,16357.25
Mauritania,2011,10.93,2320,3702763,2.95,626.56
Mauritius,2011,5.39,8130,1252404,4.30,6491.52
Mexico,2011,748.94,991616,119361233,6.27,8307.69
Moldova,2011,11.67,3739,3559986,3.28,1050.29
Mongolia,2011,55.29,4059,2754209,20.08,1473.74
Montenegro,2011,3.62,2893,620644,5.84,4661.29
Morocco,2011,77.06,79289,32059424,2.40,2473.19
Mozambique,2011,56.09,9726,24581367,2.28,395.67
Myanmar,2011,175.68,54159,52350763,3.36,1034.54
Namibia,2011,22.31,9513,2217618,10.06,4289.74
Nauru,2011,0.06,66,10057,5.66,6562.59
Nepal,2011,39.16,10449,27156367,1.44,384.77
Netherlands,2011,208.17,737754,16693074,12.47,44195.22
New Zealand,2011,55.84,123995,4384000,12.74,28283.53
Nicaragua,2011,43.16,7571,5905146,7.31,1282.10
Niger,2011,24.94,4483,16511462,1.51,271.51
Nigeria,2011,474.68,166790,164192925,2.89,1015.82
Niue,2011,0.08,10.28,1620,51.42,6345.68
Norway,2011,25.61,320032,4953088,5.17,64612.62
Oman,2011,108.11,41525,3024774,35.74,13728.30
Pakistan,2011,341.36,133077,176166353,1.94,755.41
Palau,2011,0.28,190,20606,13.55,9220.62
Panama,2011,22.27,25038,3740282,5.95,6694.15
Papua New Guinea,2011,101.72,7196,7012977,14.50,1026.10
Paraguay,2011,109.41,11632,6573097,16.64,1769.64
Peru,2011,158.52,111377,29614887,5.35,3760.85
Philippines,2011,153.62,135930,95053437,1.62,1430.04
Poland,2011,326.73,401539,38534157,8.48,10420.34
Portugal,2011,67.10,199712,10557560,6.36,18916.49
Qatar,2011,75.92,115209,1910902,39.73,60290.38
Romania,2011,111.85,116723,20147528,5.55,5793.42
Russian Federation,2011,2180.63,948020,142956460,15.25,6631.53
Rwanda,2011,5.52,4149,11144315,0.49,372.30
Saint Kitts & Nevis,2011,0.35,572,52971,6.69,10798.36
Saint Lucia,2011,1.13,1051,179271,6.31,5862.63
Saint Vincent & Grenadines,2011,0.29,586,109357,2.61,5358.60
Samoa,2011,0.47,510,187429,2.52,2721.03
Sao Tome & Principe,2011,0.17,176,183177,0.95,960.82
Saudi Arabia,2011,498.30,473356,27761728,17.95,17050.67
Senegal,2011,31.65,10580,13330737,2.37,793.65
Serbia,2011,-10.69,30362,7234099,-1.48,4197.07
Seychelles,2011,0.66,1226,87441,7.58,14020.88
Sierra Leone,2011,11.60,2249,5865491,1.98,383.43
Singapore,2011,56.37,187146,5183700,10.87,36102.78
Slovakia,2011,35.79,80748,5398384,6.63,14957.81
Slovenia,2011,4.79,39834,2052843,2.33,19404.31
Solomon Islands,2011,2.23,579,537997,4.15,1076.21
South Africa,2011,446.79,309859,51553479,8.67,6010.44
Spain,2011,329.91,1212377,46742697,7.06,25937.25
Sri Lanka,2011,45.16,35995,20869000,2.16,1724.81
Sudan,2011,181.35,34642,36430923,4.98,950.90
Suriname,2011,8.12,2325,529761,15.33,4388.77
Swaziland,2011,2.91,2898,1212159,2.40,2390.78
Sweden,2011,34.36,432085,9449213,3.64,45727.09
Switzerland,2011,46.65,463148,7912398,5.90,58534.47
Syria,2011,88.19,52342,21961676,4.02,2383.33
Tajikistan,2011,8.61,3417,7814850,1.10,437.24
Tanzania,2011,171.68,20658,46354607,3.70,445.65
Thailand,2011,358.17,210252,66576332,5.38,3158.06
Togo,2011,15.36,2598,6472304,2.37,401.40
Tonga,2011,0.29,277,104554,2.77,2649.35
Trinidad & Tobago,2011,41.21,18685,1333082,30.92,14016.39
Tunisia,2011,33.39,40388,10673800,3.13,3783.84
Turkey,2011,372.77,614666,73058638,5.10,8413.32
Turkmenistan,2011,104.98,15224,5106668,20.56,2981.20
Uganda,2011,48.95,14559,35148064,1.39,414.22
Ukraine,2011,371.46,95287,45706100,8.13,2084.78
United Arab Emirates,2011,202.88,213373,8925096,22.73,23907.08
United Kingdom,2011,529.17,2518263,63258918,8.37,39808.82
United States,2011,6024.39,13816135,311582564,19.33,44341.81
Uruguay,2011,14.81,24580,3383486,4.38,7264.70
Uzbekistan,2011,230.49,23275,29339400,7.86,793.30
Vanuatu,2011,0.57,510,241778,2.34,2109.37
Venezuela,2011,372.27,181840,29500625,12.62,6163.94
Vietnam,2011,242.31,83167,87840000,2.76,946.80
World,2011,46905.72,54034488,6964618177,6.73,7758.43
Yemen,2011,31.10,16973,23304206,1.33,728.32
Zambia,2011,120.27,13449,13633796,8.82,986.45
Zimbabwe,2011,63.68,5822,13358738,4.77,435.82
Afghanistan,2012,30.76,12438,29824536,1.03,417.04
Albania,2012,7.22,11188,2900489,2.49,3857.28
Algeria,2012,189.08,123727,38481705,4.91,3215.22
Angola,2012,199.72,55044,20820525,9.59,2643.74
Antigua & Barbuda,2012,1.14,1034,89069,12.76,11608.98
Argentina,2012,405.03,321840,41086927,9.86,7833.15
Armenia,2012,9.30,6643,2969081,3.13,2237.39
Australia,2012,685.05,845904,22728300,30.14,37218.09
Austria,2012,83.65,348719,8429991,9.92,41366.47
Azerbaijan,2012,69.34,28952,9295784,7.46,3114.53
"Bahamas, The",2012,4.17,7777,371960,11.22,20908.16
Bahrain,2012,33.25,22134,1317827,25.23,16795.83
Bangladesh,2012,189.86,91745,154695368,1.23,593.07
Barbados,2012,3.35,4064,283221,11.83,14349.22
Belarus,2012,75.35,46099,9464000,7.96,4870.98
Belgium,2012,125.11,419331,11128246,11.24,37681.68
Belize,2012,14.59,1342,324060,45.03,4141.21
Benin,2012,21.76,5696,10050702,2.16,566.73
Bhutan,2012,-7.97,1460,741822,-10.74,1968.13
Bolivia,2012,136.47,13223,10496285,13.00,1259.78
Bosnia & Herzegovina,2012,27.75,12718,3833916,7.24,3317.23
Botswana,2012,23.90,13421,2003910,11.93,6697.41
Brazil,2012,1823.15,1138348,198656019,9.18,5730.25
Brunei,2012,22.07,10284,412238,53.53,24946.75
Bulgaria,2012,46.22,34560,7305888,6.33,4730.43
Burkina Faso,2012,33.01,8289,16460141,2.01,503.58
Burundi,2012,6.91,1508,9849569,0.70,153.10
Cambodia,2012,49.12,9988,14864646,3.30,671.93
Cameroon,2012,191.20,20855,21699631,8.81,961.08
Canada,2012,856.28,1293144,34752128,24.64,37210.50
Cape Verde,2012,0.43,1359,494401,0.87,2748.78
Central African Republic,2012,60.52,2038,4525209,13.37,450.37
Chad,2012,43.27,9181,12448175,3.48,737.54
Chile,2012,93.74,164702,17464814,5.37,9430.50
China,2012,10684.29,4517460,1350695000,7.91,3344.54
Colombia,2012,199.68,202839,47704427,4.19,4252.00
Comoros,2012,0.60,435,717503,0.84,606.27
"Congo, Dem. Rep.",2012,201.53,17934,65705093,3.07,272.95
"Congo, Rep.",2012,17.72,8430,4337051,4.09,1943.72
Cook Islands,2012,0.19,265,10777,17.20,24589.40
Costa Rica,2012,4.97,27488,4805295,1.03,5720.36
Cote d'Ivoire,2012,35.78,20174,19839750,1.80,1016.85
Croatia,2012,11.75,45348,4267558,2.75,10626.22
Cuba,2012,34.79,,11270957,3.09,0.00
Cyprus,2012,7.22,18821,1128994,6.40,16670.59
Czech Republic,2012,115.34,155096,10510785,10.97,14755.89
Denmark,2012,52.33,266431,5591572,9.36,47648.68
Djibouti,2012,2.58,983,859652,3.00,1143.49
Dominica,2012,0.32,436,71684,4.45,6082.25
Dominican Republic,2012,31.18,48585,10276621,3.03,4727.72
Ecuador,2012,138.16,55655,15492264,8.92,3592.44
Egypt,2012,287.97,125900,80721874,3.57,1559.68
El Salvador,2012,13.07,19101,6297394,2.08,3033.16
Equatorial Guinea,2012,26.18,9769,736296,35.56,13267.76
Eritrea,2012,6.98,1229,6130922,1.14,200.46
Estonia,2012,29.86,15637,1322696,22.57,11822.07
Ethiopia,2012,143.87,25105,91728849,1.57,273.69
European Union (15),2012,3354.18,14086713,399652039,8.39,35247.44
European Union (28),2012,4122.64,15123050,501340957,8.22,30165.20
Fiji,2012,1.73,3257,874742,1.97,3723.38
Finland,2012,69.36,215202,5413971,12.81,39749.38
France,2012,432.40,2345257,65649570,6.59,35723.87
Gabon,2012,6.95,10953,1632572,4.26,6709.05
"Gambia, The",2012,6.88,794,1791225,3.84,443.27
Georgia,2012,10.78,9381,4490700,2.40,2088.98
Germany,2012,810.25,3158594,80425823,10.07,39273.38
Ghana,2012,58.84,18523,25366462,2.32,730.22
Greece,2012,98.31,207919,11092771,8.86,18743.65
Grenada,2012,1.94,662,105483,18.43,6275.89
Guatemala,2012,39.27,34919,15082831,2.60,2315.15
Guinea,2012,28.87,3529,11451273,2.52,308.18
Guinea-Bissau,2012,4.43,735,1663558,2.66,441.82
Guyana,2012,7.64,1016,795369,9.60,1277.39
Haiti,2012,7.91,4682,10173775,0.78,460.20
Honduras,2012,47.70,12452,7935846,6.01,1569.08
Hungary,2012,63.43,111425,9920362,6.39,11231.95
Iceland,2012,2.64,18482,320716,8.24,57627.31
India,2012,2887.08,1393627,1236686732,2.33,1126.90
Indonesia,2012,1981.00,427614,246864191,8.02,1732.18
Iran,2012,711.88,257483,76424443,9.31,3369.12
Iraq,2012,256.44,80732,32578209,7.87,2478.10
Ireland,2012,58.45,216891,4586897,12.74,47284.91
Israel,2012,93.82,189996,7910500,11.86,24018.20
Italy,2012,431.77,1794103,59539717,7.25,30132.88
Jamaica,2012,9.59,14807,2707805,3.54,5468.27
Japan,2012,1207.30,4708575,127561489,9.46,36912.20
Jordan,2012,27.42,17938,6318000,4.34,2839.19
Kazakhstan,2012,291.41,87191,16791425,17.35,5192.59
Kenya,2012,69.60,26525,43178141,1.61,614.32
Kiribati,2012,0.08,117,100786,0.76,1160.88
"Korea, Dem. Rep. (North)",2012,86.14,15907,24763188,3.48,642.36
"Korea, Rep. (South)",2012,661.39,1165254,50004441,13.23,23303.01
Kuwait,2012,202.47,102185,3250496,62.29,31436.74
Kyrgyzstan,2012,-0.24,3235,5607200,-0.04,576.94
Laos,2012,36.28,4694,6645827,5.46,706.31
Latvia,2012,-3.26,17140,2034319,-1.60,8425.42
Lebanon,2012,24.30,32058,4424888,5.49,7244.93
Lesotho,2012,2.04,1916,2051545,0.99,933.93
Liberia,2012,16.86,1155,4190435,4.02,275.63
Libya,2012,130.60,42623,6154623,21.22,6925.36
Lithuania,2012,26.59,30203,2987773,8.90,10108.87
Luxembourg,2012,11.17,42359,530946,21.05,79780.24
"Macedonia, FYR",2012,12.34,7311,2105575,5.86,3472.21
Madagascar,2012,57.65,6059,22293914,2.59,271.78
Malawi,2012,16.59,4119,15906483,1.04,258.95
Malaysia,2012,433.33,198550,29239927,14.82,6790.37
Maldives,2012,1.21,1639,338442,3.58,4842.78
Mali,2012,35.24,7133,14853572,2.37,480.22
Malta,2012,3.11,6884,419455,7.40,16411.77
Mauritania,2012,11.16,2482,3796141,2.94,653.82
Mauritius,2012,5.52,8390,1255882,4.40,6680.56
Mexico,2012,748.91,1031113,120847477,6.20,8532.35
Moldova,2012,10.88,3713,3559519,3.06,1043.12
Mongolia,2012,59.11,4562,2796484,21.14,1631.33
Montenegro,2012,3.50,2820,621081,5.63,4540.47
Morocco,2012,72.51,81405,32521143,2.23,2503.14
Mozambique,2012,57.66,10414,25203395,2.29,413.20
Myanmar,2012,184.71,58486,52797319,3.50,1107.75
Namibia,2012,22.49,10003,2259393,9.95,4427.30
Nauru,2012,0.17,97,10297,16.94,9420.22
Nepal,2012,40.34,10956,27474377,1.47,398.77
Netherlands,2012,207.53,726055,16754962,12.39,43333.73
New Zealand,2012,58.47,127132,4408100,13.26,28840.54
Nicaragua,2012,42.70,7946,5991733,7.13,1326.16
Niger,2012,26.10,4978,17157042,1.52,290.14
Nigeria,2012,474.86,173927,168833776,2.81,1030.17
Niue,2012,0.09,10.27,1610,54.10,6378.88
Norway,2012,24.10,329301,5018573,4.80,65616.46
Oman,2012,109.32,43918,3314001,32.99,13252.26
Pakistan,2012,341.65,137744,179160111,1.91,768.83
Palau,2012,,201,20754,0.00,9684.88
Panama,2012,22.05,27603,3802281,5.80,7259.59
Papua New Guinea,2012,99.92,7779,7167010,13.94,1085.39
Paraguay,2012,110.98,11488,6687361,16.60,1717.87
Peru,2012,159.50,118005,29987800,5.32,3935.10
Philippines,2012,157.59,145175,96706764,1.63,1501.19
Poland,2012,322.07,408610,38535873,8.36,10603.37
Portugal,2012,68.48,193091,10514844,6.51,18363.66
Qatar,2012,85.25,122167,2050514,41.58,59578.72
Romania,2012,108.67,117136,20058035,5.42,5839.85
Russian Federation,2012,2254.47,980589,143178000,15.75,6848.74
Rwanda,2012,5.72,4514,11457801,0.50,393.97
Saint Kitts & Nevis,2012,0.34,565,53584,6.33,10544.19
Saint Lucia,2012,1.14,1035,180870,6.32,5722.34
Saint Vincent & Grenadines,2012,0.32,593,109373,2.88,5421.81
Samoa,2012,0.38,517,188889,2.02,2737.06
Sao Tome & Principe,2012,0.21,183,188098,1.12,972.90
Saudi Arabia,2012,526.97,500872,28287855,18.63,17706.26
Senegal,2012,28.12,10946,13726021,2.05,797.46
Serbia,2012,-19.01,30054,7199077,-2.64,4174.70
Seychelles,2012,1.37,1260,88303,15.53,14269.05
Sierra Leone,2012,13.02,2370,5978727,2.18,396.41
